Retail Branding,Marketing Name,Device,Model
Essential, Essential Phone, Essential Phone PH-1, Essential PH-1
LGE,LG G7 ThinQ,judyln,LG-G710
LGE,LG G7 ThinQ,judyln,LM-G710
LGE,LG G7 ThinQ,judyln,LM-G710N
LGE,LG G7 ThinQ,judyln,LM-G710VM
Essential Products,PH-1,mata,PH-1
OnePlus,OnePlus 6,OnePlus6,ONEPLUS A6003
OnePlus,OnePlus 6T,OnePlus6T,ONEPLUS A6013
Motorola,Motorola One Power,MotorolaOnePower(P30 Note),Motorola XT1942-1
Huawei,HUAWEI P20 Lite,HWANE,ANE-LX2J
Huawei,HUAWEI P20 Lite,HWANE,HWV32
Huawei,P20,HWEML,EML-AL00
Huawei,P20,HWEML,EML-L09
Huawei,P20,HWEML,EML-L29
Huawei,P20,HWEML,EML-TL00
Huawei,P20 Pro,HW-01K,HW-01K
Huawei,P20 Pro,HWCLT,CLT-AL00
Huawei,P20 Pro,HWCLT,CLT-AL00l
Huawei,P20 Pro,HWCLT,CLT-AL01
Huawei,P20 Pro,HWCLT,CLT-L04
Huawei,P20 Pro,HWCLT,CLT-L09
Huawei,P20 Pro,HWCLT,CLT-L29
Huawei,P20 Pro,HWCLT,CLT-TL00
Huawei,P20 Pro,HWCLT,CLT-TL01
Huawei,P20 lite,HWANE,ANE-LX1
Huawei,P20 lite,HWANE,ANE-LX2
Huawei,P20 lite,HWANE,ANE-LX3
Asus,ZenFone 5 (ZE620KL),ASUS_X00QD,ASUS_X00QD
Asus,ZenFone 5 (ZE620KL),ASUS_X00QD,ASUS_X00QSA
Asus,ZenFone 5 (ZE620KL),ASUS_X00QD,ZE620KL
Asus,ZenFone 5Z (ZS620KL),ASUS_Z01R_1,ZS620KL
Asus,ZenFone 5Z (ZS620KL/ZS621KL),ASUS_Z01R_1,ASUS_Z01RD
Huawei,Honor Play,HWCOR,COR-AL00
Huawei,Honor Play,HWCOR,COR-AL10
Huawei,Honor Play,HWCOR,COR-L29
Huawei,Honor Play,HWCOR,COR-TL10
Huawei,Honor 10,HWCOL,COL-AL00
Huawei,Honor 10,HWCOL,COL-AL10
Huawei,Honor 10,HWCOL,COL-L29
Huawei,Honor 10,HWCOL,COL-TL10
Vivo,V9,1727ID,vivo 1727
Vivo,V9 6GB,1723CF,vivo 1723
Vivo,vivo X21A,PD1728,vivo X21A
Vivo,vivo X21UD A,PD1728UD,vivo X21UD A
Vivo,vivo  X21i  A,PD1801,vivo X21i A
Leagoo,S9,S9,S9
Oukitel,U18,U18,U18
Sharp,SHARP AQUOS S3,HH1,FS8032
Sharp,SHARP AQUOS S3,SD1,FS8015
Sharp,SHARP AQUOS S2,SS2,FS8010
Sharp,SHARP AQUOS S2 Plus,SAT,FS8008
Sharp,SHARP AQUOS S2 Plus,SAT,FS8016
Sharp,SHARP AQUOS C10,SH-Z01,SH-Z01
Sharp,SHARP AQUOS D10,SH-D01,SH-D01
Xiaomi,POCO F1,beryllium,POCOPHONE F1
Xiaomi,Mi A2 Lite,daisy_sprout,Mi A2 Lite
Xiaomi,MI 8,dipper,MI 8
Xiaomi,MI 8 Lite,platina,MI 8 Lite
Xiaomi,MI 8 Lite,platina,Platina
Xiaomi,MI 8 SE,sirius,MI 8 SE
Xiaomi,MI 8 SE,sirius,sirius
Xiaomi,MI 8 UD,equuleus,MI 8 Pro
Xiaomi,MI 8 UD,equuleus,MI 8 UD
Xiaomi,MI 8 UD,equuleus,equuleus
Ulefone,Armor_5,Ulefone_Armor_5,Ulefone_Armor_5
Google Inc.,Google Pixel 3,blueline,Pixel 3
OPPO,OPPO Ax5,CPH1851,OPPO R15
OPPO,OPPO R15 pro,CHP1831,OPPO R15 pro
OPPO,Oppo F7,CHP1819,Oppo F7

